X,Y,Z,Type,Name,street,HouseNumbe,neighborho,Operator,Seats,Activity,fencing,lighting,handicappe,handicap_1,yearOfEsta,condition,Owner,ForSchool,associatio,SportType
34.7639188270001,31.257552794,0,מגרש כדורסל – 19X32 מ',אור,מאיר יערי,50.00000000000,יא,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אור,,
34.7751300630001,31.255161367,0,מגרש ספורט משולב – 43X32 מ',אוריין,טבנקין,0.00000000000,ה',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אוריין,,
34.775263523,31.254856031,0,אולם ספורט קטן – 15x24 מ',אוריין,טבנקין,0.00000000000,ה',ניהול עצמי,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אוריין,כיוונים,חוגי ספורט
34.7766780260001,31.243229722,0,אולם ספורט קטן – 20x10 מ',אשכול,מגידו,12.00000000000,ט',ניהול עצמי,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אשכול,,ג'ודו
34.7763054160001,31.2430966220001,0,מגרש כדורסל – 19X32 מ',אשכול,מגידו,12.00000000000,ט',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אשכול,,
34.787806694,31.2440310200001,0,מגרש ספורט משולב – 43X32 מ',בארי,אסף שמחוני,483.00000000000,עיר עתיקה,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,בארי,,
34.7768850190001,31.23748993,0,מגרש ספורט משולב – 43X32 מ',יחדיו,חטיבה 8,12.00000000000,נווה זאב,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.784991588,31.2373610650001,0,מגרש מיני פיץ',מרגליות,ההגנה,10.00000000000,עיר עתיקה,כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,לא,כדורגל
34.7643277190001,31.24716534,0,מגרש כדורגל – 45X90 מ',מגרש כדורגל נאות לון,שמחה הולברג,6.00000000000,נאות לון,כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,כיוונים פוטבול וקהילה,כדורגל
34.7631755850001,31.245452766,0,5 מגרשי טניס שדה,נאות לון,שמחה הולברג,6.00000000000,נאות לון,כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,חוגי טניס כיוונים וקהילה,טניס שדה
34.7629402860001,31.2467061610001,0,מגרש כדורסל – 19X32 מ',נאות לון,שמחה הולברג,6.00000000000,נאות לון,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,,נאות לון,,
34.7697978840001,31.251902102,0,מתקן פתוח לכושר גופני,פארק כושר נאות לון,יגאל ידין,6.00000000000,נאות לון,כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,כושר
34.8001690340001,31.228162131,0,אצטדיון כדורגל – 105X70 מ',נווה נוי,נווה נוי,0.00000000000,נווה נוי,כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,מכבי,כדורגל
34.7838169560001,31.259834062,0,מגרש כדורסל – 19X32 מ',תומר,מבצע נחשון,0.00000000000,ו' החדשה,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,תומר,,
34.7748347400001,31.259853514,0,מגרש כדורסל – 19X32 מ',"שז""ר",מבצע עובדה,43.00000000000,ו' החדשה,כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,"שז""ר",,
