Entrances,Not_reside,Used,floors,appartment,Name,Shape_Leng,Shape_Area
1,1,אוניברסיטה,2,0,,0.00164593862,0.00000007619
1,1,מסחרי,2,0,,0.00034197067,0.00000000461
1,0,מגורים,2,4,,0.00080165719,0.00000002217
1,0,מגורים,2,8,,0.00066274528,0.00000001751
1,0,מגורים,2,8,,0.00065794050,0.00000002207
1,0,מגורים,2,8,,0.00068515351,0.00000002265
1,0,מגורים,2,8,,0.00049319483,0.00000001270
1,1,קהילתי,2,0,מועדון פיס לקשיש,0.00056293522,0.00000001690
1,0,מקלט,2,0,,0.00034507751,0.00000000379
2,0,מגורים,2,2,,0.00081941085,0.00000002657
2,0,מגורים,2,4,,0.00086202981,0.00000002407
1,1,מועדון,2,0,מועדון בני עקיבא,0.00061334756,0.00000002335
1,1,קהילתי,2,0,בית שרמן ויצ''ו,0.00112985116,0.00000004808
1,0,מגורים,2,4,,0.00065470929,0.00000001757
3,0,מגורים,2,4,,0.00080288668,0.00000002294
1,0,מגורים,2,4,,0.00043351740,0.00000001124
3,0,מגורים,2,4,,0.00073885137,0.00000001870
2,0,מגורים,2,3,,0.00082009808,0.00000002024
2,0,מגורים,2,4,,0.00085863445,0.00000002234
1,0,מגורים,2,16,,0.00055199272,0.00000001870
2,0,מגורים,2,4,,0.00082223012,0.00000002091
1,0,מגורים,2,16,,0.00075232390,0.00000002398
1,0,מגורים,2,4,,0.00047124172,0.00000001092
1,0,בית כנסת,2,0,,0.00060282643,0.00000002186
1,1,ישיבה,2,0,,0.00058395265,0.00000002057
1,1,גן ילדים,2,0,,0.00051049913,0.00000001623
4,0,מגורים,2,4,,0.00067479754,0.00000001792
2,0,מגורים,2,4,,0.00073293034,0.00000002049
3,0,מגורים,2,4,,0.00073584610,0.00000001802
3,0,מגורים,2,4,,0.00077931153,0.00000001658
2,0,מגורים,2,4,,0.00072844491,0.00000002075
4,0,מגורים,2,4,,0.00066382264,0.00000001978
1,0,מגורים,2,4,,0.00069549890,0.00000002115
3,0,מגורים,2,4,,0.00070483896,0.00000001765
1,1,מקלט,2,0,,0.00026764324,0.00000000318
1,1,משרדים,2,0,,0.00096694851,0.00000003938
1,1,משרדים,2,0,,0.00057447080,0.00000001663
1,1,בית כנסת,2,0,,0.00118317994,0.00000003748
1,1,בית כנסת,2,0,,0.00085081274,0.00000003785
1,0,בית כנסת,2,0,,0.00048224600,0.00000001360
1,0,בית כנסת,2,0,,0.00068420193,0.00000002522
1,1,בית כנסת,2,0,,0.00058385109,0.00000002012
1,1,מקלט,2,0,,0.00005474964,0.00000000017
1,1,מקלט,2,0,,0.00069330041,0.00000002686
1,1,מקלט,2,0,,0.00028551596,0.00000000194
1,1,מקלט,2,0,,0.00032776592,0.00000000225
1,1,גן ילדים,2,0,,0.00056889048,0.00000001686
1,1,מעון,2,0,,0.00086779154,0.00000003373
1,1,בית כנסת,2,0,ישיבת נתיב השבים,0.00052552615,0.00000001498
3,0,מגורים,2,4,,0.00085635353,0.00000002084
1,1,בית ספר,2,0,מכללת אתגר,0.00182276422,0.00000009866
1,1,קהילתי,2,0,,0.00080305672,0.00000002893
1,1,גן ילדים,2,2,,0.00093916188,0.00000003369
1,0,מגורים,2,3,,0.00074610909,0.00000001994
2,0,מגורים,2,4,,0.00090154075,0.00000002389
1,0,מגורים,2,2,,0.00077722062,0.00000001889
1,0,מגורים,2,2,,0.00067178520,0.00000001772
1,0,מגורים,2,2,,0.00073965691,0.00000002264
1,0,מגורים,2,4,,0.00081493993,0.00000002257
1,0,מגורים,2,2,,0.00074667812,0.00000001874
1,0,מגורים,2,3,,0.00087531302,0.00000002111
1,0,מגורים,2,2,,0.00074400150,0.00000002046
1,0,מגורים,2,2,,0.00070939343,0.00000001861
1,0,מגורים,2,2,,0.00076199485,0.00000002167
2,0,מגורים,2,4,,0.00074526774,0.00000002169
1,1,מקלט,2,0,,0.00016179058,0.00000000158
2,0,מגורים,2,8,,0.00066108440,0.00000001716
1,0,מגורים,2,4,,0.00083716626,0.00000001841
2,0,מגורים,2,4,,0.00110737824,0.00000003008
3,0,מגורים,2,4,,0.00071928151,0.00000002038
1,0,מגורים,2,4,,0.00080449581,0.00000002016
1,0,מגורים,2,4,,0.00080358162,0.00000001769
1,0,מגורים,2,4,,0.00070220810,0.00000002225
1,0,מגורים,2,4,,0.00084772196,0.00000002353
1,1,אוניברסיטה,2,0,,0.00122635782,0.00000008384
1,1,אוניברסיטה,2,0,,0.00078327618,0.00000003165
1,1,אוניברסיטה,2,0,,0.00075976428,0.00000002570
1,1,אוניברסיטה,2,0,,0.00181205399,0.00000007480
1,1,אוניברסיטה,2,0,,0.00098572606,0.00000003502
1,1,אוניברסיטה,2,0,,0.00081073943,0.00000002762
1,1,אוניברסיטה,2,0,,0.00109251967,0.00000005362
1,1,אוניברסיטה,2,0,,0.00096723733,0.00000004939
1,1,אוניברסיטה,2,0,,0.00109574413,0.00000006849
1,1,אוניברסיטה,2,0,מכללה טכנולוגית,0.00278873851,0.00000032160
1,0,גן ילדים,2,1,,0.00107938020,0.00000002683
3,0,מגורים,2,3,,0.00065595196,0.00000001633
4,0,מגורים,2,4,,0.00084944614,0.00000002213
3,0,מגורים,2,3,,0.00109260768,0.00000003723
4,0,מגורים,2,4,,0.00067950581,0.00000001646
4,0,מגורים,2,4,,0.00108166329,0.00000003030
4,0,מגורים,2,4,,0.00069829637,0.00000001798
4,0,מגורים,2,4,,0.00083543875,0.00000002381
1,0,מגורים,2,4,,0.00051148553,0.00000001103
1,0,מגורים,2,4,,0.00078564564,0.00000001994
1,0,מגורים,2,4,,0.00084432052,0.00000002103
1,0,מגורים,2,4,,0.00080828173,0.00000001967
1,0,מגורים,2,4,,0.00078139044,0.00000002240
1,0,מגורים,2,4,,0.00071574063,0.00000001762
1,0,מגורים,2,4,,0.00079721315,0.00000002001
1,0,מגורים,2,4,,0.00094782599,0.00000002233
1,0,מגורים,2,4,,0.00089255119,0.00000002411
1,0,מגורים,2,4,,0.00079279097,0.00000002290
1,0,מגורים,2,4,,0.00065062122,0.00000001523
1,0,מגורים,2,4,,0.00081280960,0.00000002139
1,0,מגורים,2,4,,0.00070379675,0.00000002312
1,0,מגורים,2,4,,0.00109749973,0.00000002879
1,0,מגורים,2,4,,0.00098198810,0.00000002198
1,0,מגורים,2,4,,0.00082352182,0.00000001773
1,0,מגורים,2,4,,0.00084840890,0.00000002204
1,0,מגורים,2,4,,0.00069427624,0.00000001881
1,0,מגורים,2,4,,0.00085001074,0.00000002206
1,0,מגורים,2,4,,0.00079546109,0.00000002012
1,0,מגורים,2,4,,0.00053878889,0.00000001286
1,0,מגורים,2,4,,0.00081902440,0.00000002332
1,0,מגורים,2,4,,0.00070171291,0.00000001908
1,0,מגורים,2,4,,0.00082445974,0.00000002057
1,1,מקלט,2,0,,0.00015757689,0.00000000146
1,0,מגורים,2,4,,0.00084285723,0.00000002691
1,0,מגורים,2,4,,0.00092723055,0.00000002261
1,0,מגורים,2,4,,0.00083898836,0.00000002057
1,0,מגורים,2,4,,0.00073800917,0.00000002023
1,0,מגורים,2,4,,0.00057821948,0.00000001329
1,0,מגורים,2,8,,0.00049082995,0.00000001447
1,0,מגורים,2,8,,0.00049771087,0.00000001481
1,0,מגורים,2,8,,0.00051137355,0.00000001549
1,0,מגורים,2,8,,0.00047453193,0.00000001367
1,0,מגורים - חזית ציבורי/ מסחר,2,8,,0.00046832565,0.00000001338
1,0,מגורים - חזית ציבורי/ מסחר,2,8,,0.00049793584,0.00000001411
1,0,מגורים - חזית ציבורי/ מסחר,2,8,,0.00048351934,0.00000001327
1,1,מגורים - חזית ציבורי/ מסחר,2,8,,0.00047951068,0.00000001393
2,5,מגורים - חזית ציבורי/ מסחר,2,8,,0.00057066619,0.00000001845
2,1,מגורים - חזית ציבורי/ מסחר,2,8,,0.00055584491,0.00000001684
1,0,מגורים - חזית ציבורי/ מסחר,2,8,,0.00040157088,0.00000001006
1,0,מגורים - חזית ציבורי/ מסחר,2,8,,0.00039934915,0.00000000995
2,2,מגורים - חזית ציבורי/ מסחר,2,8,,0.00060273484,0.00000002013
1,1,מקלט,2,0,,0.00016293927,0.00000000148
1,1,מקלט,2,0,,0.00008195089,0.00000000040
1,1,מקלט,2,0,,0.00007592368,0.00000000035
1,1,מקלט,2,0,,0.00008188719,0.00000000041
1,1,מקלט,2,0,,0.00008524210,0.00000000044
1,0,מגורים,2,4,,0.00085753537,0.00000001985
1,0,מגורים,2,4,,0.00069720374,0.00000001831
1,1,אוניברסיטה,2,0,,0.00031359994,0.00000000445
1,0,מגורים,2,8,,0.00042088073,0.00000001096
1,0,מגורים,2,8,,0.00044307427,0.00000001220
1,1,אוניברסיטה,2,0,,0.00039923000,0.00000000726
3,0,מגורים,2,3,,0.00071306354,0.00000001790
1,0,מגורים,2,8,,0.00049050174,0.00000001354
1,0,מגורים,2,8,,0.00048920696,0.00000001352
3,0,מגורים,2,3,,0.00078315081,0.00000002977
1,0,מגורים,2,8,,0.00058504002,0.00000002009
2,0,מגורים,2,4,,0.00094391268,0.00000002226
1,0,מגורים,2,8,,0.00048273242,0.00000001440
1,0,מגורים,2,4,,0.00085621160,0.00000002301
1,0,מגורים,2,4,,0.00089685198,0.00000002218
1,0,מגורים,2,4,,0.00096806797,0.00000002437
0,0,תחבורה,2,0,,0.00010407936,0.00000000054
3,0,מגורים,2,4,,0.00092064029,0.00000002509
1,0,מגורים,2,8,,0.00079278063,0.00000002510
1,0,מגורים,2,8,,0.00080093541,0.00000002515
1,0,מגורים,2,8,,0.00079054324,0.00000002547
3,0,מגורים,2,4,,0.00065039036,0.00000002450
2,0,מגורים,2,2,,0.00062289449,0.00000001611
3,0,מגורים,2,4,,0.00068854087,0.00000001817
