X,Y,Z,address,neighborho,operator,Name
34.7763329750001,31.247787547,0,רחבת צפת-36,ט,"נעמ""ת",מעון סיגל
34.7851402270001,31.2517188100001,0,דרך שמשון - 7,ה,"נעמ""ת",דוזר ה'
34.7972019470001,31.2487159410001,0,מונטיפיורי - 3,א,נעמ''ת,בויאר
34.7772247180001,31.239626107,0,אשר ברש - 5,נווה זאב,"נעמ""ת",מעון נווה זאב
34.8225865260001,31.276473202,0,אברהם אמיר- 12,רמות,"נעמ""ת",מעון רמות
34.805063347,31.260616144,0,מתחם סורוקה - בן,ג,"נעמ""ת",מעון סורוקה
34.7918035750001,31.2652965070001,0,אליהו הנביא - 5,ד,"ויצ""ו",מרכז לגיל הרך
34.764214861,31.2382617540001,0,מי מרום - 1,נווה זאב,בית מוריה,בית מוריה
34.7740628190001,31.2416925220001,0,אביגדור המאירי26,נווה זאב,נעמת,נעמת נווה זאב
34.7719143530001,31.2402142820001,0,רונאל - 31,נווה זאב,"חב""ד",ילדי מנחם
34.7769500110001,31.2701923810001,0,ויתקון - 29,ו,נאות מרגלית,קרית האבות
34.801886251,31.250270162,0,יד ושם - 20,ג,"ויצ""ו",מעון שכונה - ג
34.762369447,31.268597325,0,אביגיל - 2,נווה מנחם,אמונה,נווה מנחם
34.800504661,31.278952712,0,פריבס - 11,רמות,"ויצ""ו",מעון רמות חדש
34.780436712,31.265388607,0,מבצע יקב,ו,"ויצ""ו",מעון קן השלום
34.774022147,31.236442056,0,אברהם מאפו - 18,נווה זאב,"ויצ""ו",מעון נווה זאב
34.770414321,31.258414208,0,"רמ""א 33",יא',"ויצ""ו",מעון יחדיו
34.804899956,31.2835552560001,0,מיכאל הנגבי - 2,רמות,אמונה,מעון יום
34.804353586,31.2738029280001,0,המדע,רמות,"ויצ""ו",מעון רמות
34.774095059,31.254816439,0,טבנקין - 3,ה,"ויצ""ו",מעון טבנקין
34.7986466520001,31.2647997760001,0,רגר,ד,"ויצ""ו",מעון האוניברסיטה
34.78776786,31.268436663,0,"רש""י- 3",ד,אמונה,מעון ד' צפון
34.7588062030001,31.2662667820001,0,אפריים לוזון,נווה מנחם,נאות מרגלית,מעון נווה מנחם
34.800416351,31.2844471550001,0,סנה 8,רמות,נאות מרגלית,רמות
34.8083857030001,31.2547086710001,0,גוש עציון 12,ג,"נעמ""ת",דוזר ג'
34.7759183420001,31.2638142710001,0,"רחבת הלח""י",ו,נאות מרגלית,אוצר החיים
34.800368894,31.2699999500001,0,ברנפלד 3,ד,בית מוריה,מעון אורות
34.779479693,31.2544602990001,0,פטריה,ה,בית מוריה,אריאל
34.7904658910001,31.2668091260001,0,האיסיים 3,ד,נאות מרגלית,מעון איסיים
34.7684288470001,31.2537245130001,0,"החיד""א 55",יא,נאות מרגלית,אהבת שלום
34.7698365910001,31.2596353390001,0,שרת 52,יא,אהבת שלום,ילדי השלום
34.773363407,31.261758813,0,עובדה-שאול המלך,ו,שבו בנים,שבו בנים
34.7856173770001,31.2493954560001,0,ורבורג 8,א,מצדיקי הרבים,מעון דעת ותבונה
34.7858008470001,31.2398139910001,0,נגבה 20,עיר עתיקה,עם רם,ניצני אור
34.789914244,31.2421544490001,0,הרצל 77,עיר עתיקה,,משכן עתיקה
34.783758941,31.2516841130001,0,יציאת אירופה,ה,בית מוריה,יציאת אירופה
34.7631194510001,31.262537664,0,,נווה מנחם,,"מתנ""ס נווה מנחם"
34.7763329750001,31.247787547,0,רחבת צפת-36,ט,"נעמ""ת",מעון סיגל
34.7851402270001,31.2517188100001,0,דרך שמשון - 7,ה,"נעמ""ת",דוזר ה'
34.7972019470001,31.2487159410001,0,מונטיפיורי - 3,א,נעמ''ת,בויאר
34.7772247180001,31.239626107,0,אשר ברש - 5,נווה זאב,"נעמ""ת",מעון נווה זאב
34.8225865260001,31.276473202,0,אברהם אמיר- 12,רמות,"נעמ""ת",מעון רמות
34.805063347,31.260616144,0,מתחם סורוקה - בן,ג,"נעמ""ת",מעון סורוקה
34.7918035750001,31.2652965070001,0,אליהו הנביא - 5,ד,"ויצ""ו",מרכז לגיל הרך
34.764214861,31.2382617540001,0,מי מרום - 1,נווה זאב,בית מוריה,בית מוריה
34.7740628190001,31.2416925220001,0,אביגדור המאירי26,נווה זאב,נעמת,נעמת נווה זאב
34.7719143530001,31.2402142820001,0,רונאל - 31,נווה זאב,"חב""ד",ילדי מנחם
34.7769500110001,31.2701923810001,0,ויתקון - 29,ו,נאות מרגלית,קרית האבות
34.801886251,31.250270162,0,יד ושם - 20,ג,"ויצ""ו",מעון שכונה - ג
34.762369447,31.268597325,0,אביגיל - 2,נווה מנחם,אמונה,נווה מנחם
34.800504661,31.278952712,0,פריבס - 11,רמות,"ויצ""ו",מעון רמות חדש
34.780436712,31.265388607,0,מבצע יקב,ו,"ויצ""ו",מעון קן השלום
34.774022147,31.236442056,0,אברהם מאפו - 18,נווה זאב,"ויצ""ו",מעון נווה זאב
34.770414321,31.258414208,0,"רמ""א 33",יא',"ויצ""ו",מעון יחדיו
34.804899956,31.2835552560001,0,מיכאל הנגבי - 2,רמות,אמונה,מעון יום
34.804353586,31.2738029280001,0,המדע,רמות,"ויצ""ו",מעון רמות
34.774095059,31.254816439,0,טבנקין - 3,ה,"ויצ""ו",מעון טבנקין
34.7986466520001,31.2647997760001,0,רגר,ד,"ויצ""ו",מעון האוניברסיטה
34.78776786,31.268436663,0,"רש""י- 3",ד,אמונה,מעון ד' צפון
34.7588062030001,31.2662667820001,0,אפריים לוזון,נווה מנחם,נאות מרגלית,מעון נווה מנחם
34.800416351,31.2844471550001,0,סנה 8,רמות,נאות מרגלית,רמות
34.8083857030001,31.2547086710001,0,גוש עציון 12,ג,"נעמ""ת",דוזר ג'
34.7759183420001,31.2638142710001,0,"רחבת הלח""י",ו,נאות מרגלית,אוצר החיים
34.800368894,31.2699999500001,0,ברנפלד 3,ד,בית מוריה,מעון אורות
34.779479693,31.2544602990001,0,פטריה,ה,בית מוריה,אריאל
34.7904658910001,31.2668091260001,0,האיסיים 3,ד,נאות מרגלית,מעון איסיים
34.7684288470001,31.2537245130001,0,"החיד""א 55",יא,נאות מרגלית,אהבת שלום
34.7698365910001,31.2596353390001,0,שרת 52,יא,אהבת שלום,ילדי השלום
34.773363407,31.261758813,0,עובדה-שאול המלך,ו,שבו בנים,שבו בנים
34.7856173770001,31.2493954560001,0,ורבורג 8,א,מצדיקי הרבים,מעון דעת ותבונה
34.7858008470001,31.2398139910001,0,נגבה 20,עיר עתיקה,עם רם,ניצני אור
34.789914244,31.2421544490001,0,הרצל 77,עיר עתיקה,,משכן עתיקה
34.783758941,31.2516841130001,0,יציאת אירופה,ה,בית מוריה,יציאת אירופה
34.7631194510001,31.262537664,0,,נווה מנחם,,"מתנ""ס נווה מנחם"
