source,dest,dist
1,"מתנ""ס לוין",2.1186629250581546
1,"מתנ""ס נירים",1.9833147504005872
1,"מתנ""ס נעורים",2.621980409484702
1,"מתנ""ס פאני קפלן",2.7660911220584463
1,"מתנ""ס טאובל",3.6543604271264796
1,"מתנ""ס - י'א",0.878608843973037
1,מרכז הצעירים,3.6655220542486004
1,"מתנ""ס רמות",3.1978126830408393
1,"מתנ""ס נווה זאב",3.022117891808654
1,מתנס נווה נוי,4.506075757082307
2,"מתנ""ס לוין",2.474490731297559
2,"מתנ""ס נירים",2.4063814912784856
2,"מתנ""ס נעורים",2.9750092234341086
2,"מתנ""ס פאני קפלן",3.1717464199975622
2,"מתנ""ס טאובל",3.9391465498085143
2,"מתנ""ס - י'א",0.4704745150667543
2,מרכז הצעירים,3.5714872802607993
2,"מתנ""ס רמות",3.6984547434112405
2,"מתנ""ס נווה זאב",2.7222001302115264
2,מתנס נווה נוי,4.311159108905502
3,"מתנ""ס לוין",2.1270077429103535
3,"מתנ""ס נירים",1.972843422493506
3,"מתנ""ס נעורים",2.6292581026404633
3,"מתנ""ס פאני קפלן",2.758676980296813
3,"מתנ""ס טאובל",3.674937464781679
3,"מתנ""ס - י'א",0.9644316342065509
3,מרכז הצעירים,3.7408702462435968
3,"מתנ""ס רמות",3.1521550703360415
3,"מתנ""ס נווה זאב",3.1106189976248944
3,מתנס נווה נוי,4.588936735390794
4,"מתנ""ס לוין",1.9895514250619
4,"מתנ""ס נירים",1.8255274243598574
4,"מתנ""ס נעורים",2.4906525257231813
4,"מתנ""ס פאני קפלן",2.612207603708538
4,"מתנ""ס טאובל",3.546214621153327
4,"מתנ""ס - י'א",1.05140041564315
4,מרכז הצעירים,3.703253521705903
4,"מתנ""ס רמות",3.0062337716697836
4,"מתנ""ס נווה זאב",3.1374248288273425
4,מתנס נווה נוי,4.5777565390315935
5,"מתנ""ס לוין",2.3473960671679666
5,"מתנ""ס נירים",2.1795363379590493
5,"מתנ""ס נעורים",2.8487888244172273
5,"מתנ""ס פאני קפלן",2.967221903326026
5,"מתנ""ס טאובל",3.899476985080979
5,"מתנ""ס - י'א",1.0059485288501058
5,מרכז הצעירים,3.9197831085536605
5,"מתנ""ס רמות",3.3032323268853294
5,"מתנ""ס נווה זאב",3.219097417527929
5,מתנס נווה נוי,4.740110160700868
6,"מתנ""ס לוין",2.1285913993182035
6,"מתנ""ס נירים",1.9253066084737684
6,"מתנ""ס נעורים",2.6244230996015285
6,"מתנ""ס פאני קפלן",2.7137252662387246
6,"מתנ""ס טאובל",3.70185628518219
6,"מתנ""ס - י'א",1.2034092766897688
