"type","crs__type","crs__properties__name","features__type","features__properties__MainFeatur","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002"
"FeatureCollection","name","urn:ogc:def:crs:EPSG::3857","Feature","כתם יפרוק","Point","3870205.774633112363517","3670460.02641914319247"
"","","","Feature","עץ שיזף מצוי","Point","3869648.308769721072167","3671854.701245430856943"
"","","","Feature","ריכוז מרווה ריחנית וקזוח","Point","3876404.934428602457047","3667304.415099033154547"
"","","","Feature","מערה, בולדרים ושרידי מדורות","Point","3872636.435726586263627","3666568.228182004299015"
"","","","Feature","צבעונים וכלניות - ריכוז דליל","Point","3875978.914669355843216","3667228.35911953728646"
"","","","Feature","ריכוז אירוס שחום- 50+ פרטים, 100 על 100 מטר","Point","3873466.623918572906405","3673186.526960081420839"
"","","","Feature","ריכוז גיאופיטים- כלניות בצפיפות גבוהה מאוד- עשרות אלפי פרטים, 500 על 50 מטר","Point","3869670.087613467592746","3670394.110282734502107"
"","","","Feature","קדד נאה","Point","3878595.813340086489916","3673056.604905979707837"
"","","","Feature","תצפית","Point","3876253.127869160845876","3667349.403374943416566"
"","","","Feature","שיטה סלילנית","Point","3868207.546701365150511","3668535.925525447353721"
"","","","Feature","בוצין שיחני - זיהוי לא וודאי","Point","3874995.092913855798542","3663479.942746073938906"
"","","","Feature","עץ אשל, גובה כ- 10 מ'","Point","3870700.812408840749413","3664183.50928829330951"
"","","","Feature","גשר ומעביר מים בנחל- מעבר לבע""ח, שומר מים זמן ממושך","Point","3869701.804809351917356","3668465.406034931540489"
"","","","Feature","ריכוז קדד בלתי מזוהה","Point","3867494.626457252539694","3663225.890417609829456"
"","","","Feature","שיכרון מרושת - פרטים בודדים","Point","3877012.293563245795667","3664707.836967845447361"
"","","","Feature","מצילות ארוכות-עוקץ ושום אשרסון","Point","3876416.956866503227502","3674157.250452642794698"
"","","","Feature","עץ שיזף מצוי","Point","3871240.501070599071681","3668968.426041477359831"
"","","","Feature","עץ תות וותיק בערוץ עם לימנים וסכרי אבן","Point","3869453.924657345283777","3671190.861418781336397"
"","","","Feature","קיר עפר בגובה 2.5 מ'","Point","3868273.477412002161145","3662829.974519257899374"
"","","","Feature","ריכוז גלונית מצויה","Point","3872683.412468048278242","3660020.92988934321329"
"","","","Feature","ריכוז צפוף של שומר פשוט","Point","3868767.921731494832784","3665320.951227661222219"
"","","","Feature","עץ אשל גדול ומרשים","Point","3866989.979447028599679","3665072.971717748790979"
"","","","Feature","מקבץ שלהבית קיצרת-שיניים","Point","3872534.578341939020902","3671336.97035864694044"
"","","","Feature","ריכוז צמר מפוצל","Point","3876983.350507677067071","3668281.203870855737478"
"","","","Feature","מחילות יונקים קטנים","Point","3875670.332479719538242","3670237.883381200488657"
"","","","Feature","כחלית ההרים - כעשרה פרטים","Point","3871634.226283808238804","3672756.540638080332428"
"","","","Feature","בור מים","Point","3876776.915149766020477","3667934.061384531203657"
"","","","Feature","מערה","Point","3874633.066743656992912","3672159.265943235717714"
"","","","Feature","שיכרון מרושת בודד, קדד לא מזוהה (ייתכן ב""ש)","Point","3874738.40205638576299","3662993.422857526689768"
"","","","Feature","קירות עפר בגדת נחל חברון","Point","3878093.198201285675168","3664573.34826897457242"
"","","","Feature","משטח סלע עם גבים רדודים בשטח מ""ר בודדים ועומק 20 ס""מ","Point","3874071.677913025487214","3671517.925151419825852"
"","","","Feature","זוגן השיח","Point","3874437.770546639803797","3662444.720788788981736"
"","","","Feature","סתוונית הנגב - מקבץ צפוף","Point","3878150.089991053100675","3670903.679783268366009"
"","","","Feature","ריכוז צמר מפוצל","Point","3869941.279501957818866","3673149.765673483721912"
"","","","Feature","שרידי מבנה ישן","Point","3869499.373295648954809","3671336.845561902038753"
"","","","Feature","מחשוף קירטון - שני עצי חרוב","Point","3874185.323520933277905","3670821.177524365019053"
"","","","Feature","מחצבה","Point","3872746.975951602682471","3666661.470059523358941"
"","","","Feature","אירוס הנגב","Point","3873108.372687648050487","3662370.783471507951617"
"","","","Feature","ריכוז צפוף ומדהים של עדעד המדבר, אלפי פרטים בשטח קטן בין דרך העפר למחשוף","Point","3868706.410046259872615","3665364.888095774687827"
"","","","Feature","עצי שיזף מצוי- 4 פרטים","Point","3868215.906632296275347","3669486.719287976622581"
"","","","Feature","מאורות","Point","3870446.89266258245334","3669170.149127203505486"
"","","","Feature","מאות כלניות, מעט אירוס שחום","Point","3878348.795324180275202","3664669.165894257370383"
"","","","Feature","כניסה לפיר - מפעל המים של תל באר שבע.","Point","3878508.715849465690553","3664649.92410307796672"
"","","","Feature","שישה עצי אורן","Point","3868172.853993186261505","3666635.709919489920139"
"","","","Feature","מחצבה בשימוש מקננים שונים","Point","3869246.861159905325621","3663215.724773117806762"
"","","","Feature","שיטה סלילנית","Point","3872326.188256450463086","3660924.767852969001979"
"","","","Feature","חלקות בעל","Point","3871830.485762402880937","3670473.174641584511846"
"","","","Feature","מקבץ פגוניה רכה","Point","3876682.565152141265571","3674503.739097444340587"
"","","","Feature","שיטה סלילנית קטנה, סירה קוצנית","Point","3869721.86875327816233","3661209.443726865574718"
"","","","Feature","ריכוז עדעד המדבר","Point","3873430.922819929197431","3668734.850938381627202"
